Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-04-22 20:45 (-07),Live,Robin Arzon,20,Cycling,Music,20 min 90s Ride,2022-04-22 14:28 (-07),138,115,40%,84,17.02,5.67,187,,,
2023-08-31 14:11 (-07),On Demand,Jess King,30,Cycling,Low Impact,30 min Sweat Steady: Low Impact Ride,2023-08-31 06:00 (-07),198,110,37%,84,16.48,8.24,350,130.00,,
2023-08-31 14:43 (-07),On Demand,Jess King,10,Cycling,Low Impact,Extra 10: Low Impact Ride,2023-05-15 07:00 (-07),49,82,33%,85,14.84,2.47,117,131.00,,
2023-08-31 14:53 (-07),On Demand,Jess King,5,Cycling,Cool Down,5 min Cool Down Ride,2023-04-26 08:00 (-07),18,59,29%,82,12.68,1.06,52,125.00,,
2023-09-01 09:24 (-07),On Demand,Denis Morton,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2023-04-29 12:25 (-07),426,118,36%,89,17.33,17.33,861,148.00,,
2023-09-01 10:25 (-07),On Demand,Hannah Frankson,5,Cycling,Cool Down,5 min Cool Down Ride,2023-09-01 01:00 (-07),13,43,21%,82,10.94,0.91,52,124.00,,
2023-09-02 13:52 (-07),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Rock Ride,2023-08-30 01:00 (-07),215,120,34%,92,17.20,8.60,414,144.00,,
2023-09-03 09:44 (-07),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2023-07-08 04:54 (-07),273,101,36%,81,16.15,12.11,501,127.00,,
2023-09-03 10:30 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-02-06 09:00 (-07),12,39,22%,78,10.65,0.88,40,108.00,,
2023-09-04 13:40 (-07),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2023-08-12 04:55 (-07),319,118,38%,81,17.16,12.87,558,135.00,,
2023-09-04 14:26 (-07),On Demand,Robin Arzon,10,Cycling,Cool Down,10 min Madonna Cool Down Ride,2023-06-20 01:00 (-07),56,93,36%,78,15.71,2.62,114,129.00,,
2023-09-05 10:54 (-07),On Demand,Christine D'Ercole,60,Cycling,Power Zone,60 min Power Zone Endurance 80s Ride,2022-07-24 10:26 (-07),426,118,39%,79,17.31,17.31,740,135.00,,
2023-09-05 11:55 (-07),On Demand,Robin Arzon,10,Cycling,Cool Down,10 min Madonna Cool Down Ride,2023-06-20 01:00 (-07),53,89,35%,80,15.37,2.56,120,133.00,,
2023-09-06 10:25 (-07),Live,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Endurance,2023-06-20 14:24 (-07),323,120,40%,76,17.34,13.00,532,131.00,,
2023-09-06 11:10 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-02-06 09:00 (-07),15,51,25%,81,11.99,0.99,47,118.00,,
2023-09-07 08:58 (-07),On Demand,Christine D'Ercole,60,Cycling,Power Zone,60 min Power Zone Endurance 80s Ride,2021-11-28 11:24 (-07),415,115,40%,76,17.09,17.09,677,128.00,,
2023-09-07 10:00 (-07),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2023-07-20 23:00 (-07),55,92,36%,77,15.62,2.60,107,124.00,,
2023-09-08 18:08 (-07),On Demand,Sam Yo,30,Cycling,Power Zone,30 min Power Zone Endurance 90s Ride,2023-09-05 23:00 (-07),214,119,48%,61,17.30,8.65,339,129.00,,
2023-09-09 16:16 (-07),On Demand,Sam Yo,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2023-07-25 22:54 (-07),324,120,50%,58,17.43,13.08,517,130.00,,
2023-09-11 09:43 (-07),On Demand,Ben Alldis,60,Cycling,Music,60 min 2010s Ride,2020-07-01 05:52 (-07),509,141,43%,78,18.49,18.49,920,154.00,,
2023-09-12 16:06 (-07),On Demand,Ben Alldis,45,Cycling,Power Zone,45 min Power Zone Endurance EDM Ride,2023-04-25 23:00 (-07),324,120,42%,72,17.38,13.04,523,130.00,,
2023-09-13 13:12 (-07),On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,2022-02-05 05:25 (-07),562,125,48%,68,17.71,22.14,887,132.00,,
2023-09-14 10:48 (-07),On Demand,Matt Wilpers,75,Cycling,Power Zone,75 min Power Zone Endurance Ride,2023-08-05 04:26 (-07),492,109,41%,79,16.78,20.97,888,132.00,,
2023-09-15 09:58 (-07),On Demand,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2023-08-24 04:23 (-07),192,107,38%,86,16.63,8.31,350,131.00,,
2023-09-15 10:31 (-07),Live,Bradley Rose,20,Cycling,Music,20 min EDM Ride,2023-04-08 04:25 (-07),191,159,47%,82,19.43,6.47,316,157.00,,
